object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201532889349300523,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201503209349316020,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,1507072,WIRE/CHECK
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"QUEENSLAND BRAIN INSTITUTE, MARSHALL LABORATORY, UQ FOR LANTERN FISH PROJECT",405000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THE DOW CENTRE FOR SUSTAINABLE ENGINEERING INNOVATION, UQ FOR THE OPERATIONS OF THE DOW CENTRE.",2000000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,SUPPORT AUSTRALIAN INSTITUTE OF BUSINESS AND ECONOMICS,235000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE MCLENNAN AND HOWES COLLABORATIVE SCHOLARSHIP,60000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"ENDOWED SCHOLARSHIPS, EMERGING NEEDS, VARIOUS FACULTIES, DEPARTMENTS AND COLLEGES",59703,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE CENTRE FOR SOCIAL RESPONSIBILITY IN MINING (CSRM) AT SMI FOR RESEARCH ON THE EFFECTIVENESS AND OUTCOMES OF CERTIFICATION SCHEMES IN THE MINING SECTOR.,125000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THOMAS A. PLEIN ENDOWED SCHOLARSHIP FOR US CITIZEN(S) STUDYING IN EITHER THE SCHOOL OF BUSINESS, ECONOMICS OR LAW AT THE BUSINESS ECONOMICS AND LAW FACULTY.",27500,WIRE,FMV
201523159349300987,260069167,FUND SALARY OF PROF,10800,CHECK
201533209349315408,260833212,CHARITABLE,28934,WIRE TRANSFER
201533039349301303,912163512,SCHOOL AID,EFT
201533359349301118,841567873,Cuba,Training Support,10100,Wire Trnsfr
201533359349301118,841567873,Malawi,Training Support,11157,Wire Trnsfr
201533359349301118,841567873,Mexico,Training Support,28500,Wire Trnsfr
201533359349301118,841567873,USA Latinos,Training Support,10143,Wire Trnsfr
201513439349300141,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (subgrants).",1568737,Cheque,0
201522939349300037,580593438,East Asia,American Cultural,10000,Wire
201522859349300807,954749034,SUPPORT UNIVERSITY,CASH WIRE TRANSFER
201503499349300305,237069575,"North America (including Canada and Mexico, but not the United States)",research,5241987,cheque,0
201503519349300545,730739626,Central America and the Caribbean,Ministry support,150000,Check
201503519349300545,730739626,Middle East and North Africa,Pastoral training,5032,Check
201503519349300545,730739626,Europe (Including Iceland & Greenland),Ministry networking,7800,ACH payment
201503519349300545,730739626,Sub-Saharan Africa,Church building,5011,ACH payment
201620339349301002,042111203,East Asia and the Pacific,Research,63660,wire transfer,0
201620339349301002,042111203,Europe (including Iceland and Greenland),Research,45690,check,0
201620339349301002,042111203,"North America (including Canada and Mexico, but not the United States)",Research,41587,check,0
201620339349301002,042111203,South Asia,Research,18343,check,0
201620339349301002,042111203,South America,Research,24796,wire transfer,0
201620309349300107,454135256,EUROPE (INCLUDING ICELAND & GREENLAND),DIABETES RESEARCH,79926,WIRE TRANSFER
201640359349301314,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1867000,Wire Transfer
201543459349300904,986001141,"North America (including Canada and Mexico, but not the United States)",Research,56722000,Wire Cheque Draft,0
201543459349300904,986001141,Sub-Saharan Africa,Research,685000,Wire Cheque Draft,0
201543459349300904,986001141,East Asia and the Pacific,Research,193000,Wire Cheque Draft,0
201543459349300904,986001141,South Asia,Research,128000,Wire Cheque Draft,0
201543459349300904,986001141,Central America and the Caribbean,Research,63000,Wire Cheque Draft,0
201543459349300904,986001141,South America,Research,49000,Wire Cheque Draft,0
201543459349300904,986001141,Europe (including Iceland and Greenland),Research,27000,Wire Cheque Draft,0
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,20313,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,9717,check
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,22971,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,5306,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/cleaning service,28872,bank draft
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Payroll,7058,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,15405,credit card
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Utilities,1514,bank draft
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/cleaning service,5453,bank draft
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,15000,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Lodging,147862,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Lodging,85156,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Lodging,89531,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost/Lodging,5279,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,55937,wire transfer
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,22598,wire transfer
201611339349304586,630312914,Central America and the Caribbean,Program Cost,28725,wire transfer
201611339349304586,630312914,Central America and the Caribbean,Program Cost,14805,wire transfer
201611339349304586,630312914,Middle East and North Africa,Program Cost,65816,wire transfer
201621349349307152,990113930,East Asia and the Pacific,RESEARCH,34083,CHECK
201621349349307152,990113930,East Asia and the Pacific,RESEARCH,56667,CHECK
201611379349309806,990240539,EAST ASIA AND THE PACIFIC,DONATION,22819,CHECK
201611379349309806,990240539,SUB SAHARAN AFRICA,DONATION,29484,CHECK
201611379349309806,990240539,EAST ASIA AND THE PACIFIC,CHARITABLE,5871,CHECK
201611379349309806,990240539,EAST ASIA AND THE PACIFIC,CHARITABLE,7458,CHECK
201611379349309806,990240539,EAST ASIA AND THE PACIFIC,CHARITABLE,6500,CHECK
201611379349309806,990240539,SOUTH ASIA,CHARITABLE,29900,CHECK
201611349349303941,362169157,Central America and the Caribbean,STUDY ABROAD,8306,WIRE TRANSFER,0
201611349349303941,362169157,Europe (Including Iceland and Greenland),STUDY ABROAD,523174,WIRE TRANSFER,0
201611349349303941,362169157,East Asia and the Pacific,STUDY ABROAD,64136,WIRE TRANSFER,0
201611349349303941,362169157,Middle East and North Africa,STUDY ABROAD,26434,WIRE TRANSFER,0
201611349349303941,362169157,South America,STUDY ABROAD,6800,WIRE TRANSFER,0
201631349349307828,550665758,SOUTH ASIA,INSTRUCTION,6526,CHECK
201631349349307828,550665758,EUROPE,RESEARCH,9033,CHECK
201631349349307828,550665758,SUB-SAHARAN AFRICA,RESEARCH,72352,CHECK
201631349349307828,550665758,SUB-SAHARAN AFRICA,RESEARCH,105145,CHECK
201631349349307828,550665758,RUSSIA AND NEIGHBORING STATES,RESEARCH,86150,CHECK
201621339349305877,231352689,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Build wells in various villages,50000,Bank wire
201621379349301002,210634501,Central America and the Caribbean,RES/EDU/TRAV/CONSULT,2511590,check,N/A,N/A
201621379349301002,210634501,East Asia and the Pacific,RES/EDU/TRAV,777225,check,N/A,N/A
201621379349301002,210634501,Europe (Including Iceland and Greenland),RES/EDU/TRAV/CONSULT,5588038,check,N/A,N/A
201621379349301002,210634501,Middle East and North Africa,RES/EDU/TRAVEL/CONSULT,276522,check,N/A,N/A
201621379349301002,210634501,North America,RES/EDU/TRAVEL/CONSULT,683738,check,N/A,N/A
201621379349301002,210634501,Russia and the Newly Independent States,RES/EDU/TRAV/CONSUL,94833,check,N/A,N/A
201621379349301002,210634501,South America,RES/EDU/TRAV/CONSUL,903992,check,N/A,N/A
201621379349301002,210634501,South Asia,RES/EDU/TRAV/CONSUL,81660,check,N/A,N/A
201621379349301002,210634501,Sub-Saharan Africa,RES/EDU/TRAV/CONSUL,1176071,check,N/A,N/A
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,215876,WIRE,N/A,FMV
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,6278,CHECK,n/a,fmv
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,18360,WIRE,N/A,FMV
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,25000,ACH,N/A,FMV
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,32052,CHECK,N/A,FMV
201601379349305440,231352651,Europe (Including Iceland and Greenland),SPONSORED RESEARCH,42995,CHECK,N/A,FMV
201601379349305440,231352651,Middle East and North Africa,SPONSORED RESEARCH,34628,CHECK,N/A,FMV
201641379349310924,741613878,Europe (Including Iceland and Greenland),AIDS PREVENTION AND CARE,1128238,WIRE TRANSFR
201641379349310924,741613878,South America,AIDS PREVENTION AND CARE,40361,WIRE TRANSFR
201641379349310924,741613878,Sub-Saharan Africa,AIDS PREVENTION & CARE,6062460,WIRE TRANSFR
201631379349303783,540505965,South America,GRANT SUBAWARD FROM SPONSORED RESEARCH FUNDS,189285,WIRE,N/A,Other
201631379349303783,540505965,South America,GRANT SUBAWARD FROM SPONSORED RESEARCH FUNDS,17505,WIRE,N/A,Other
201631379349303783,540505965,South America,GRANT SUBAWARD FROM SPONSORED RESEARCH FUNDS,5361,WIRE,N/A,Other
201631379349303783,540505965,South America,GRANT SUBAWARD FROM SPONSORED RESEARCH FUNDS,6319,WIRE,N/A,Other
201631379349302018,042104230,Europe (Including Iceland and Greenland),subaward,188189,Check
201631379349302018,042104230,South America,subaward,15000,wire
201641339349301409,250965591,EAST ASIA AND THE PACIFIC,RESEARCH SUBCONTRACT.,683984,WIRE/CHECK
201641339349301409,250965591,EUROPE,RESEARCH SUBCONTRACT.,2411656,WIRE/CHECK
201641339349301409,250965591,MIDDLE EAST AND NORTH AFRICA,RESEARCH SUBCONTRACT.,169594,WIRE/CHECK
201641339349301409,250965591,NORTH AMERICA,RESEARCH SUBCONTRACT.,326850,WIRE/CHECK
201641339349301409,250965591,SOUTH AMERICA,RESEARCH SUBCONTRACT.,84391,WIRE/CHECK
201641339349301409,250965591,SOUTH ASIA,RESEARCH SUBCONTRACT.,212306,WIRE/CHECK
201641339349301409,250965591,SUB-SAHARAN AFRICA,RESEARCH SUBCONTRACT,13665,WIRE/CHECK
201611379349308936,530196603,Europe (Including Iceland and Greenland),General Support,10000,Wire,0,N/A,N/A
201611379349308936,530196603,Europe (Including Iceland and Greenland),General Support,15663,Wire,0,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,1512500,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,1379920,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,1092020,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,640662,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,528165,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,470978,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,333539,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,330720,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,307143,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,284995,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,281712,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,228153,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,176508,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,163512,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,162166,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,158309,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,152772,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,152428,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,150743,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,145805,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,145725,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,144117,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,137470,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,134000,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,131509,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,124792,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,108483,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,105064,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,103599,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,102469,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,97200,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,92162,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,89460,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,88232,Check/Wire,N/A,N/A
201631349349303358,135598093,Central America and the Caribbean,RESEARCH,87431,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,87112,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,72331,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,67769,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,67606,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,63440,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,60934,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,55337,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,52920,Check/Wire,N/A,N/A
201631349349303358,135598093,Central America and the Caribbean,RESEARCH,52138,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,50248,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,50000,Check/Wire,N/A,N/A
201631349349303358,135598093,Russia and the Newly Independent States,RESEARCH,49893,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,49333,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,48000,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,41021,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,40200,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,40000,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,40000,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,38708,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,38150,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,37002,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,36888,Check/Wire,N/A,N/A
201631349349303358,135598093,Russia and the Newly Independent States,RESEARCH,31000,Check/Wire,N/A,N/A
201631349349303358,135598093,Russia and the Newly Independent States,RESEARCH,29016,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,26400,Check/Wire,N/A,N/A
201631349349303358,135598093,Russia and the Newly Independent States,RESEARCH,25000,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,25000,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,24300,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,24042,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,21534,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,21194,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,21000,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,20502,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,20000,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,19077,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,17000,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,16628,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,16181,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,15551,Check/Wire,N/A,N/A
201631349349303358,135598093,Central America and the Caribbean,RESEARCH,15249,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,15000,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,14826,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,14688,Check/Wire,N/A,N/A
201631349349303358,135598093,South America,RESEARCH,14440,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,13920,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,13069,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,12820,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,11213,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,10000,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,10000,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,9980,Check/Wire,N/A,N/A
201631349349303358,135598093,South Asia,RESEARCH,9119,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,8857,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,8314,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,7932,Check/Wire,N/A,N/A
201631349349303358,135598093,Europe,RESEARCH,7560,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,7532,Check/Wire,N/A,N/A
201631349349303358,135598093,East Asia and the Pacific,RESEARCH,6145,Check/Wire,N/A,N/A
201631349349303358,135598093,North America,RESEARCH,50000,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,71467,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,79369,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,542707,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,3220266,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,6071892,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,554410,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,1499254,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,135169,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,1287791,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,110128,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,836211,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,2213482,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,4118125,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,2003464,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,RESEARCH,271420,Check/Wire,N/A,N/A
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,475489,VEHICLES,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,101933,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,201174,MATERIALS,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,46285,EQUIP/VHCLE,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,17295,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,8648,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,105305,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,50771,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,28830,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,55412,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,6493,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,6493,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,6493,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,6493,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,6493,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,91332,FURNITURE,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,68202,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,172300,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,50849,EQUIPMENT,BOOK VALUE
201631349349303358,135598093,Sub-Saharan Africa,EDU/RESEARCH,39967,EQUIPMENT,BOOK VALUE
201641349349306559,530196584,Sub-Saharan Africa,SUBAWARD,855000,EFT
201641349349306559,530196584,East Asia and the Pacific,SUBAWARD,285000,EFT
201641349349306559,530196584,Sub-Saharan Africa,SUBAWARD,18000,EFT
201641349349306559,530196584,Middle East and North Africa,SUBAWARD,22000,EFT
201641349349306559,530196584,South America,SUBAWARD,61000,EFT
201641349349306559,530196584,East Asia and the Pacific,SUBAWARD,8000,EFT
201641349349306559,530196584,Sub-Saharan Africa,SUBAWARD,33000,EFT
201641349349306559,530196584,East Asia and the Pacific,SUBAWARD,56000,EFT
201641349349306559,530196584,Europe (Including Iceland and Greenland),SUBAWARD,67000,EFT
201641349349306559,530196584,East Asia and the Pacific,SUBAWARD,202000,EFT
201641349349306559,530196584,Europe (Including Iceland and Greenland),SUBAWARD,106000,EFT
201641349349306559,530196584,North America,SUBAWARD,22000,EFT
201641349349306559,530196584,North America,SUBAWARD,679000,EFT
201641349349306559,530196584,East Asia and the Pacific,SUBAWARD,202000,EFT
201641349349306559,530196584,Sub-Saharan Africa,SUBAWARD,44000,EFT
201641349349306559,530196584,North America,SUBAWARD,15000,EFT
201641349349306559,530196584,Europe (Including Iceland and Greenland),SUBAWARD,7000,EFT
201641349349306559,530196584,South America,SUBAWARD,13000,EFT
201641349349306559,530196584,Europe (Including Iceland and Greenland),SUBAWARD,115000,EFT
201641349349306559,530196584,Europe (Including Iceland and Greenland),SUBAWARD,21000,EFT
201641349349306559,530196584,North America,SUBAWARD,25000,EFT
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,113350,WIRE/CHECK
201611379349307081,951642394,North America,RSCH SUBAWRD,26040,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,130702,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,9167,WIRE/CHECK
201611379349307081,951642394,Middle East and North Africa,RSCH SUBAWRD,23296,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,328300,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,53042,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,33093,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,56781,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,282199,WIRE/CHECK
201611379349307081,951642394,East Asia and the Pacific,RSCH SUBAWRD,103270,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,38855,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,20182,WIRE/CHECK
201611379349307081,951642394,North America,RSCH SUBAWRD,166336,WIRE/CHECK
201611379349307081,951642394,North America,RSCH SUBAWRD,24004,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,60989,WIRE/CHECK
201611379349307081,951642394,Europe (Including Iceland and Greenland),RSCH SUBAWRD,61359,WIRE/CHECK
201611379349307081,951642394,Middle East and North Africa,RSCH SUBAWRD,15479,WIRE/CHECK
